Name,PredDNN,OldRating
Zaar,6.244067,5.51978
Keydom's Dragons,6.7608204,5.59418
Biljard,6.020378,5.51144
Compatibility 15th Anniversary Edition,6.3490257,5.52416
Twin Stars: Adventure Series II,6.582471,5.54469
Tilt'n Tumble,5.9832997,5.49995
Chrono Bomb,6.013179,5.4822
Chili Mafia,6.137907,5.55377
Innovation Ultimate,6.9227734,5.5888
Big Cityz,6.182513,5.51324
The Russo-Swedish War,6.3056,5.5142
Dungeons & Dragons Dice Masters: Trouble in Waterdeep Campaign Box,6.4785957,5.53309
Bag the Hun,6.7965555,5.53465
Gounki,6.063796,5.51345
PS,6.0770264,5.50975
Loża Szyderców,5.9742,5.47951
"Antietam: The Bloodiest Day, 17 September 1862",6.99255,5.52828
Braveheart Solitaire,6.918007,5.51905
Word-Whiz,6.228478,5.52476
Phlounder,6.1936283,5.4911
Granny's House,6.056607,5.50819
The Three Stooges Card Game,6.204207,5.47319
Tapas,6.178183,5.48933
Make Your Own Opoly,5.982646,5.46748
Monopoly: Disney Villains,6.0016403,5.50292
1863,6.8979692,5.49744
That Sound Game,6.1600704,5.51804
Die Wikinger Saga,7.0912285,5.5645
Blood,6.56334,5.52104
Turbulent Top,6.009165,5.48754
Vietnam: 1965-1975 (2nd edition),7.4108696,5.66859
Clonk!,6.291225,5.55036
Test Match,6.014597,5.53063
Party Bugs,6.145127,5.54762
Tumba,6.0369544,5.4999
ATS Stalingrad: Dzerhezinsky Tractor Works 1942,7.133013,5.55687
Fireside Football,6.6365633,5.51055
Jedzie pociąg z daleka,6.557269,5.5472
Zwickern,6.1190214,5.48927
Dungeon Crawl,6.2808027,5.53632
Totem,6.054094,5.48936
Gay Sauna: The Board Game,6.117094,5.49881
Scurvy Musketeers of the Spanish Main,5.981245,5.52954
James Clavell's Shogun Card Game,6.0687737,5.52519
The Battle of Agincourt,6.731655,5.50409
Condottieri: The Battle of Castagnaro,6.3537455,5.51248
Bears&Bees,6.3147955,5.53374
Flame & Fang,7.292308,5.60199
"Hastings, 1066",7.364597,5.55684
New York Kings,6.257497,5.51949
Pictionary: Party Edition,6.542997,5.5351
Molecular: The Strategic Chemistry Tile Game,6.616272,5.49184
Dust 1947,7.2879477,5.59727
TriATri,6.1172557,5.48592
Haslach 1805 / Elchingen 1805,6.277837,5.5366
"Operation Battleaxe:  Wavell vs. Rommel, 1941",6.416292,5.60331
Starfall,7.3779798,5.53255
Dino Tricks,6.5889835,5.5497
The Game of Crown and Anchor,6.172022,5.47615
Cartino,6.1254907,5.50607
Conspiracy!,6.077051,5.54085
Vulkan!,6.463864,5.51354
The Game of Saying 'Huh?!',6.015383,5.51213
Tabriz,7.2890434,5.53975
Sitting Ducks Deluxe,6.165677,5.5294
Die Glücksritter,6.3719473,5.51172
Pipe Work,6.501646,5.50797
Monster Maker,6.1493897,5.47633
1888-N,7.095948,5.57182
Starry Night Sky,7.295451,5.59659
C.S.A. America's Civil War 1861-1865,7.123506,5.51788
Dice Stack,6.432948,5.49951
ElfBall,6.9411125,5.53614
Master Quiz,6.2485514,5.49693
Palaces,6.869978,5.516
Anxiety Attack!,6.1442738,5.50257
Grass is Greener,6.2534094,5.52244
Logo Party,6.0309496,5.47962
"Fornovo 1495: Dawn of the Italian Wars, 1495-1525",6.925541,5.52102
Zargos,6.4365873,5.54864
Overworld,6.387969,5.53735
