Name,PredLasso,PredRF,PredKNN,PredSVM,OldRating,AvgPred
Visby,6.325787305244974,6.710790589523802,6.0044699999999995,6.563135883580221,5.53963,6.401045944587249
Search & Destroy: Tactical Combat Vietnam – 1965-1966,7.3245134313987545,6.977409782857148,6.138116,6.959490547772183,5.53531,6.849882440507022
Rock Paper Scissors,5.868865754973535,5.1923873800000075,6.342808,6.140193877329955,5.43849,5.886063753075875
DUOS,6.425364658809878,6.791500060000006,6.2366220000000006,6.663061065421092,5.55711,6.529136946057744
Dragon's Cave,6.196702187297904,6.597905040000005,6.346716,6.215073260476843,5.55877,6.339099121943688
Legitimacy,5.839618248854337,6.2190845955873,5.96325,6.172034685413046,5.49123,6.04849688246367
Monopoly: Klingon Edition,6.135196231968842,6.639569159999991,6.124426,6.188511718846425,5.50146,6.271925777703815
Schweine-Würfeln,5.965039440384856,5.549493760000001,6.182572,6.124959151252594,5.48182,5.955516087909363
Rum Rebellion,6.25246763080972,6.04916114285714,5.959058000000001,6.1191617273036085,5.48531,6.094962125242618
Veleno,6.258145821906121,6.202446223333342,5.989974,6.384121189822082,5.54261,6.208671808765386
Bank Heist,6.838568590272395,7.042860800000005,6.650956000000001,6.774430369115813,5.54821,6.826703939847054
Witchcraft: Moonlight Magic,6.336609878208525,6.43240924000001,6.5043880000000005,6.6909298520951435,5.52787,6.491084242575919
Ninja vs Robot,6.180661100186088,6.260601751111106,6.29148,6.419095104869857,5.49382,6.2879594890417625
Borodino '41,6.658231743541643,6.7716297799999925,6.242232,6.718271281359975,5.51887,6.597591201225402
Les deux Bretagne: La guerre de succession 1341-1364,6.955403426848742,6.747290128686203,6.359976,6.804668206047489,5.53387,6.716834440395608
Terra Pyramides,7.034855493942959,7.2195788489999915,6.71645,6.676780572049367,5.59882,6.91191622874808
Zorro,6.125916045792443,6.171850045000001,6.406374,6.291115752351958,5.48712,6.2488139607861
Moeraki: Kemu,6.708686272121612,7.081796023888876,5.91352,6.195630778730567,5.5642,6.4749082686852635
Counting Zzzzs,6.004033441633099,6.036963700000006,6.053068,6.2088274455607895,5.50372,6.075723146798473
Keops,7.326875902132891,7.711450079999995,6.529074,7.180458497508029,5.55735,7.186964619910228
Cirondo,6.924555024725496,6.897548020000004,6.398028000000001,6.325053494538184,5.50124,6.636296134815922
All Hands On Deck,6.014250773126566,6.2809007200000035,6.222150000000001,6.088296965287296,5.49317,6.151399614603466
Pyramid: Home Game,6.285469877883822,5.73734773999999,6.250013999999999,6.13482405744254,5.53322,6.101913918831587
Nichtlustig: Noch mehr Labor Chaos,5.809584990984964,6.273868386666672,5.927086000000001,6.0084770705722015,5.5164,6.00475411205596
Backwoods,6.9924503064998,7.076133779999992,6.981874,6.8155589333114115,5.53107,6.966504254952801
Annihilator / OneWorld,6.342486290943505,5.934390620000003,6.332532,6.607634150121643,5.4713,6.304260765266288
Legacy of Thracks: The Awakening,7.383316164693924,7.709756880000008,6.4992339999999995,7.187408375317123,5.51825,7.194928855002764
Baronda,6.943344155110003,7.09752766285714,6.15217,6.567348208305863,5.53845,6.690097506568251
Rummy Rumble,6.559418240287388,6.277035883999993,6.612711999999999,6.375693033071748,5.48586,6.456214789339782
GOPS,6.318373307032608,6.115990699999982,6.379098000000001,6.255128483718241,5.51268,6.267147622687708
The Last Starfighter Combat Game,6.648536815264832,6.024428911111122,6.462210000000001,6.725282264401736,5.50654,6.465114497694422
Crusoe's Planet,6.714269074615047,6.745730267183944,6.310504,6.752869420929817,5.53016,6.630843190682202
Firefly: Fistful of Credits,6.551010176519393,7.005030746666675,6.236190000000001,6.474865860614562,5.49083,6.566774195950158
Free at Last,6.724391586081521,7.305807311578947,6.423388,6.819814104899664,5.47592,6.818350250640033
